ID,Keypad,RT,Accuracy
2/3/2023 10:17:41 PM,1x10,3.545057,4
2/3/2023 10:17:41 PM,5x2,3.172428,1
2/3/2023 10:17:41 PM,3x3+1,3.777946,1
