ID;Keypad;RT;Accuracy;Age
2/11/2023 4:35:41 PM;5x2;10.01837;4;12
2/11/2023 4:35:41 PM;1x10;2.245678;0;12
2/11/2023 4:35:41 PM;3x3+1;4.172935;0;12
