ID;Keypad;RT;Accuracy
2/5/2023 3:16:03 PM;1x10;3.851324;0
2/5/2023 3:16:03 PM;5x2;2.089169;1
2/5/2023 3:16:03 PM;3x3+1;9.064728;2
